param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.8,protSet_1,8,-2677,1632,4309,862,50056
pm,0.8,protSet_1,9,-2532,1702,4234,862,50056
pm,0.8,protSet_2,0,-3255,1076,4331,862,50056
pm,0.8,protSet_2,1,-3296,1122,4418,862,50056
pm,0.8,protSet_2,2,-3275,1322,4597,862,50056
pm,0.8,protSet_2,3,-3196,1274,4470,862,50056
pm,0.8,protSet_2,4,-3251,1211,4462,862,50056
pm,0.8,protSet_2,5,-3131,1144,4275,862,50056
pm,0.8,protSet_2,6,-3238,1287,4525,862,50056
pm,0.8,protSet_2,7,-3237,1192,4429,862,50056
pm,0.8,protSet_2,8,-3202,1294,4496,862,50056
pm,0.8,protSet_2,9,-3264,1291,4555,862,50056
pm,0.8,protSet_3,0,-2870,1385,4255,862,50056
pm,0.8,protSet_3,1,-3099,1419,4518,862,50056
pm,0.8,protSet_3,2,-2805,1604,4409,862,50056
pm,0.8,protSet_3,3,-3166,1133,4299,862,50056
pm,0.8,protSet_3,4,-3006,1489,4495,862,50056
pm,0.8,protSet_3,5,-3135,1163,4298,862,50056
pm,0.8,protSet_3,6,-2963,1207,4170,862,50056
pm,0.8,protSet_3,7,-3063,1616,4679,862,50056
pm,0.8,protSet_3,8,-2956,1242,4198,862,50056
pm,0.8,protSet_3,9,-2913,1180,4093,862,50056
pm,0.8,protSet_4,0,-2875,1542,4417,862,50056
pm,0.8,protSet_4,1,-2887,1741,4628,862,50056
pm,0.8,protSet_4,2,-2883,1480,4363,862,50056
pm,0.8,protSet_4,3,-2918,1677,4595,862,50056
pm,0.8,protSet_4,4,-2950,1434,4384,862,50056
pm,0.8,protSet_4,5,-2870,1740,4610,862,50056
pm,0.8,protSet_4,6,-2775,1739,4514,862,50056
pm,0.8,protSet_4,7,-2898,1617,4515,862,50056
pm,0.8,protSet_4,8,-2819,1721,4540,862,50056
pm,0.8,protSet_4,9,-2878,1469,4347,862,50056
pm,0.8,protSet_5,0,-2645,2226,4871,862,50056
pm,0.8,protSet_5,1,-2754,2182,4936,862,50056
pm,0.8,protSet_5,2,-2840,2195,5035,862,50056
pm,0.8,protSet_5,3,-2729,2180,4909,862,50056
pm,0.8,protSet_5,4,-2678,2050,4728,862,50056
pm,0.8,protSet_5,5,-2565,2321,4886,862,50056
pm,0.8,protSet_5,6,-2779,2160,4939,862,50056
pm,0.8,protSet_5,7,-2622,2106,4728,862,50056
pm,0.8,protSet_5,8,-2930,1882,4812,862,50056
pm,0.8,protSet_5,9,-2573,2290,4863,862,50056
