param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.2,tuneC_1,9,-685,-156,529,689,40022
pm,0.4,tuneA_0,0,-501,398,899,689,40022
pm,0.4,tuneA_0,1,-511,418,929,689,40022
pm,0.4,tuneA_0,2,-516,398,914,689,40022
pm,0.4,tuneA_0,3,-498,418,916,689,40022
pm,0.4,tuneA_0,4,-528,408,936,689,40022
pm,0.4,tuneA_0,5,-533,398,931,689,40022
pm,0.4,tuneA_0,6,-497,348,845,689,40022
pm,0.4,tuneA_0,7,-523,398,921,689,40022
pm,0.4,tuneA_0,8,-535,418,953,689,40022
pm,0.4,tuneA_0,9,-493,418,911,689,40022
pm,0.4,tuneA_1,0,-519,328,847,689,40022
pm,0.4,tuneA_1,1,-487,338,825,689,40022
pm,0.4,tuneA_1,2,-537,341,878,689,40022
pm,0.4,tuneA_1,3,-559,284,843,689,40022
pm,0.4,tuneA_1,4,-501,295,796,689,40022
pm,0.4,tuneA_1,5,-514,341,855,689,40022
pm,0.4,tuneA_1,6,-518,332,850,689,40022
pm,0.4,tuneA_1,7,-550,318,868,689,40022
pm,0.4,tuneA_1,8,-494,294,788,689,40022
pm,0.4,tuneA_1,9,-530,344,874,689,40022
pm,0.4,tuneA_2,0,-562,429,991,689,40022
pm,0.4,tuneA_2,1,-523,89,612,689,40022
pm,0.4,tuneA_2,2,-532,407,939,689,40022
pm,0.4,tuneA_2,3,-525,400,925,689,40022
pm,0.4,tuneA_2,4,-527,372,899,689,40022
pm,0.4,tuneA_2,5,-558,417,975,689,40022
pm,0.4,tuneA_2,6,-549,294,843,689,40022
pm,0.4,tuneA_2,7,-484,415,899,689,40022
pm,0.4,tuneA_2,8,-539,303,842,689,40022
pm,0.4,tuneA_2,9,-547,415,962,689,40022
pm,0.4,tuneB_0,0,-637,150,787,689,40022
pm,0.4,tuneB_0,1,-619,154,773,689,40022
pm,0.4,tuneB_0,2,-604,177,781,689,40022
pm,0.4,tuneB_0,3,-579,205,784,689,40022
pm,0.4,tuneB_0,4,-584,179,763,689,40022
pm,0.4,tuneB_0,5,-619,160,779,689,40022
pm,0.4,tuneB_0,6,-591,147,738,689,40022
pm,0.4,tuneB_0,7,-589,195,784,689,40022
pm,0.4,tuneB_0,8,-598,144,742,689,40022
pm,0.4,tuneB_0,9,-626,175,801,689,40022
pm,0.4,tuneB_1,0,-577,-74,503,689,40022
pm,0.4,tuneB_1,1,-514,230,744,689,40022
pm,0.4,tuneB_1,2,-591,142,733,689,40022
pm,0.4,tuneB_1,3,-573,69,642,689,40022
pm,0.4,tuneB_1,4,-581,202,783,689,40022
pm,0.4,tuneB_1,5,-570,133,703,689,40022
pm,0.4,tuneB_1,6,-566,169,735,689,40022
pm,0.4,tuneB_1,7,-592,176,768,689,40022
pm,0.4,tuneB_1,8,-590,207,797,689,40022
pm,0.4,tuneB_1,9,-593,163,756,689,40022
pm,0.4,tuneB_2,0,-680,-5,675,689,40022
pm,0.4,tuneB_2,1,-672,38,710,689,40022
pm,0.4,tuneB_2,2,-679,40,719,689,40022
pm,0.4,tuneB_2,3,-685,27,712,689,40022
pm,0.4,tuneB_2,4,-672,49,721,689,40022
pm,0.4,tuneB_2,5,-678,30,708,689,40022
pm,0.4,tuneB_2,6,-645,36,681,689,40022
pm,0.4,tuneB_2,7,-643,15,658,689,40022
